race_id,state_postal,state_name,description,category,summary,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,option_name,vote_count,vote_pct
20241105ME83055,ME,Maine,Maine Question 5. Changes the state flag.,Other,"This ballot measure would replace Maine's current flag, which features the state's coat of arms, with a flag featuring a pine tree and a star.",Called,2024-11-07T00:52:20.797000+00:00,494,575,85.91,90.4,734890,2,Yes,327271,44.53
20241105MO83071,MO,Missouri,Missouri Amendment 3. Creates a constitutional right to abortion.,Abortion,"This proposed amendment to Missouri's constitution would create a right to reproductive freedom, including to abortion and birth control. The Legislature could regulate abortion after fetal viability, but could not restrict an abortion necessary to protect the life or health of a pregnant woman.",Called,2024-11-06T23:31:14.555000+00:00,3573,3573,100.0,99.0,2959180,2,Yes,1527096,51.61
20241105MO83071,MO,Missouri,Missouri Amendment 3. Creates a constitutional right to abortion.,Abortion,"This proposed amendment to Missouri's constitution would create a right to reproductive freedom, including to abortion and birth control. The Legislature could regulate abortion after fetal viability, but could not restrict an abortion necessary to protect the life or health of a pregnant woman.",Called,2024-11-06T23:31:14.555000+00:00,3573,3573,100.0,99.0,2959180,3,No,1432084,48.39
20241105MO83073,MO,Missouri,Missouri Amendment 7. Prohibits ranked choice voting and noncitizen voting.,Voting & Elections,"This proposed amendment to Missouri's constitution would prohibit ranked choice voting and primaries that advance more than one person to the general election. It also would state that only U.S. citizens can vote, repealing an existing provision stating all citizens can vote.",Called,2024-11-06T23:31:13.575000+00:00,3573,3573,100.0,99.0,2851546,2,Yes,1952138,68.46
20241105MO83073,MO,Missouri,Missouri Amendment 7. Prohibits ranked choice voting and noncitizen voting.,Voting & Elections,"This proposed amendment to Missouri's constitution would prohibit ranked choice voting and primaries that advance more than one person to the general election. It also would state that only U.S. citizens can vote, repealing an existing provision stating all citizens can vote.",Called,2024-11-06T23:31:13.575000+00:00,3573,3573,100.0,99.0,2851546,3,No,899408,31.54
20241105MT83129,MT,Montana,Montana Initiative 128. Creates a constitutional right to abortion.,Abortion,"This proposed amendment to Montana's constitution would create a right to abortion. The Legislature could regulate abortion after fetal viability, but could not restrict an abortion necessary to protect the life or health of a pregnant woman.",Called,2024-11-07T04:11:41.596000+00:00,707,731,96.72,96.71,567676,2,Yes,324804,57.22
20241105MT83129,MT,Montana,Montana Initiative 128. Creates a constitutional right to abortion.,Abortion,"This proposed amendment to Montana's constitution would create a right to abortion. The Legislature could regulate abortion after fetal viability, but could not restrict an abortion necessary to protect the life or health of a pregnant woman.",Called,2024-11-07T04:11:41.596000+00:00,707,731,96.72,96.71,567676,3,No,242872,42.78
20241105MT83130,MT,Montana,Montana Initiative 126. Requires open primaries with multiple candidates advancing.,Voting & Elections,"This proposed amendment to Montana's constitution would require open primaries for state offices and U.S. legislative offices in which candidates of all parties appear on the same ballot, with the top four vote recipients advancing to the general election.",Called,2024-11-07T04:12:36.686000+00:00,708,731,96.85,96.91,557654,3,No,288540,51.74
20241105MT83130,MT,Montana,Montana Initiative 126. Requires open primaries with multiple candidates advancing.,Voting & Elections,"This proposed amendment to Montana's constitution would require open primaries for state offices and U.S. legislative offices in which candidates of all parties appear on the same ballot, with the top four vote recipients advancing to the general election.",Called,2024-11-07T04:12:36.686000+00:00,708,731,96.85,96.91,557654,2,Yes,269114,48.26
20241105MT83131,MT,Montana,Montana Initiative 127. Requires majority vote to win elections.,Voting & Elections,"This proposed amendment to Montana's constitution would require a majority vote, instead of a plurality, for candidates to win elections. The Legislature would create a system for determining a winner when no candidate receives a majority.",Called,2024-11-07T04:13:39.177000+00:00,707,731,96.72,96.69,549106,3,No,334300,60.88
